codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
300000000120,CORREA EN V C-186,CORREA EN V C-186,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000120.png, , , ,0,
300000000121,CORREA MOTOR 291-5837 CAT,CORREA MOTOR 291-5837 CAT,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000121.png, , ,C1PRD46*,3,
300000000122,CORREA TENSORA 285-5622 CASE,CORREA TENSORA 285-5622 CASE,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000122.png, , , ,0,
300000000123,CORREA VENTILADOR R134637 JD,CORREA VENTILADOR R134637 JD,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000123.png, , , ,0,
300000000124,CORREA VENTILADOR R135604 JD,CORREA VENTILADOR R135604 JD,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000124.png, , , ,0,
300000000125,CORREAS EN ''V'' REFERENCIA C-195,CORREAS EN ''V'' REFERENCIA C-195,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000125.png, , , ,0,
300000000126,CORTADOR 44995046 CNH,CORTADOR 44995046 CNH,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000126.png, , ,C301A14*,6,
300000000127,CRUCETA RE208960 JD,CRUCETA RE208960 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000127.png, , , ,0,
300000000128,CUBIERTA 82016408 CNH,CUBIERTA 82016408 CNH,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000128.png, , ,C301A15*,3,
300000000129,CUBIERTA 82024284 CNH,CUBIERTA 82024284 CNH,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000129.png, , , ,0,
